class,bruises,odor,spore_print_color,population,habitat,mushroom_ID,gillID,capID,veilID,stalkID
p,t,p,k,s,u,pxsntpfcnkeesswwpwopksu,fcnk,xsn,pwop,eessww
e,t,a,n,n,g,exsytafcbkecsswwpwopnng,fcbk,xsy,pwop,ecssww
e,t,l,n,n,m,ebswtlfcbnecsswwpwopnnm,fcbn,bsw,pwop,ecssww
p,t,p,k,s,u,pxywtpfcnneesswwpwopksu,fcnn,xyw,pwop,eessww
e,f,n,n,a,g,exsgfnfwbktesswwpwoenag,fwbk,xsg,pwoe,tessww
e,t,a,k,n,g,exyytafcbnecsswwpwopkng,fcbn,xyy,pwop,ecssww
e,t,a,k,n,m,ebswtafcbgecsswwpwopknm,fcbg,bsw,pwop,ecssww
e,t,l,n,s,m,ebywtlfcbnecsswwpwopnsm,fcbn,byw,pwop,ecssww
p,t,p,k,v,g,pxywtpfcnpeesswwpwopkvg,fcnp,xyw,pwop,eessww
e,t,a,k,s,m,ebsytafcbgecsswwpwopksm,fcbg,bsy,pwop,ecssww
e,t,l,n,n,g,exyytlfcbgecsswwpwopnng,fcbg,xyy,pwop,ecssww
e,t,a,k,s,m,exyytafcbnecsswwpwopksm,fcbn,xyy,pwop,ecssww
e,t,a,n,s,g,ebsytafcbwecsswwpwopnsg,fcbw,bsy,pwop,ecssww
p,t,p,n,v,u,pxywtpfcnkeesswwpwopnvu,fcnk,xyw,pwop,eessww
e,f,n,k,a,g,exfnfnfwbntesfwwpwoekag,fwbn,xfn,pwoe,tesfww
e,f,n,n,y,u,esfgfnfcnkeesswwpwopnyu,fcnk,sfg,pwop,eessww
e,f,n,n,a,g,effwfnfwbktesswwpwoenag,fwbk,ffw,pwoe,tessww
p,t,p,k,s,g,pxsntpfcnneesswwpwopksg,fcnn,xsn,pwop,eessww
p,t,p,n,s,u,pxywtpfcnneesswwpwopnsu,fcnn,xyw,pwop,eessww
p,t,p,n,s,u,pxsntpfcnkeesswwpwopnsu,fcnk,xsn,pwop,eessww
